attachable_id,attachable_type,url,name
1008847722,InterventionDefinition,http://dww.madison.k12.wi.us/tl/math/elementary/docs/primary_math_notebook/chapter10.pdf,"Teaching Mathematics in the Primary Grades, Chapter 10"
1008847722,InterventionDefinition,http://dww.madison.k12.wi.us/tl/math/elementary/docs/intermediate_math_notebook/chapter10.pdf,"Teaching Mathematics in the Intermediate Grades, Chapter 10"
1008847718,InterventionDefinition,http://dww.madison.k12.wi.us/tl/math/elementary/docs/intermediate_math_notebook/chapter10.pdf,"Teaching Mathematics in the Intermediate Grades, Chapter 10"
1008847718,InterventionDefinition,http://dww.madison.k12.wi.us/tl/math/elementary/docs/primary_math_notebook/chapter10.pdf,"Teaching Mathematics in the Primary Grades, Chapter 10"
1008847715,InterventionDefinition,http://dww.madison.k12.wi.us/tl/math/elementary/docs/intermediate_math_notebook/chapter7.pdf,"Teaching Math in the Intermediate Grades, Chapter 7:  Number Work"
1008847732,InterventionDefinition,http://dww.madison.k12.wi.us/tl/math/elementary/docs/intermediate_math_notebook/chapter6.pdf,"Teaching Mathematics in the Intermediate Grades, Chapter 6:  Problem Solving"
777239335,ProbeDefinition,14_Number_Development_Assessment.pdf,14_Number_Development_Assessment.pdf
777239304,ProbeDefinition,Problem_Solving_Probe_A.pdf,Problem_Solving_Probe_A.pdf
777239356,ProbeDefinition,Problem_Solving_Probe_K.pdf,Problem_Solving_Probe_K.pdf
777239335,ProbeDefinition,Number_Development_Assessment_scoring_guide.pdf,Number_Development_Assessment_scoring_guide.pdf
777239305,ProbeDefinition,Problem_Solving_Probe_B.pdf,Problem_Solving_Probe_B.pdf
777239336,ProbeDefinition,Goal_Attainment_Scaling_1.pdf,Goal_Attainment_Scaling_1.pdf
777239386,ProbeDefinition,Instructions_for_getting_an_Attendance_Rate.doc,Instructions_for_getting_an_Attendance_Rate.doc
777239380,ProbeDefinition,BehaviorDataRubricwithdirections.pdf,BehaviorDataRubricwithdirections.pdf
777239382,ProbeDefinition,ContractRubricwithdirections.pdf,ContractRubricwithdirections.pdf
777239379,ProbeDefinition,SkillsAttainmentRubricwithdirections.pdf,SkillsAttainmentRubricwithdirections.pdf
777239411,ProbeDefinition,Number_Knowledge_Assessment_Scoring_Rubric_Level_A2_and_Level_B-1.pdf,Number_Knowledge_Assessment_Scoring_Rubric_Level_A2_and_Level_B-1.pdf
777239412,ProbeDefinition,Sound_Boxes_Pictures_For_Progress_Monitor.pdf,Sound_Boxes_Pictures_For_Progress_Monitor.pdf
777239412,ProbeDefinition,Sound_Boxes_Progress_Monitor.pdf,Sound_Boxes_Progress_Monitor.pdf
777239412,ProbeDefinition,Sound_Boxes_Progress_Monitor_Directions.pdf,Sound_Boxes_Progress_Monitor_Directions.pdf
777239413,ProbeDefinition,Concept_of_Spoken_Word.pdf,Concept_of_Spoken_Word.pdf
777239414,ProbeDefinition,Rhyming.pdf,Rhyming.pdf
777239415,ProbeDefinition,Syllables.pdf,Syllables.pdf
777239416,ProbeDefinition,Phoneme_Isolation.pdf,Phoneme_Isolation.pdf
777239417,ProbeDefinition,Phoneme_Blending.pdf,Phoneme_Blending.pdf
777239418,ProbeDefinition,Phoneme_Deletion.pdf,Phoneme_Deletion.pdf
777239419,ProbeDefinition,Phoneme_Substitution.pdf,Phoneme_Substitution.pdf
777239420,ProbeDefinition,Phoneme_Segmentation.pdf,Phoneme_Segmentation.pdf
777239421,ProbeDefinition,Reading_High_Frequency_Words_Progress_Monitor_Directions.pdf,Reading_High_Frequency_Words_Progress_Monitor_Directions.pdf
777239421,ProbeDefinition,30_High_Frequency_words_Progress_Monitor.pdf,30_High_Frequency_words_Progress_Monitor.pdf
777239421,ProbeDefinition,100_High_Frequency_Words_Progress_Monitor.pdf,100_High_Frequency_Words_Progress_Monitor.pdf
777239421,ProbeDefinition,150_High_Frequency_words_Progress_Monitor.pdf,150_High_Frequency_words_Progress_Monitor.pdf
777239422,ProbeDefinition,30_High_Frequency_words_Progress_Monitor.pdf,30_High_Frequency_words_Progress_Monitor.pdf
777239422,ProbeDefinition,100_High_Frequency_Words_Progress_Monitor.pdf,100_High_Frequency_Words_Progress_Monitor.pdf
777239422,ProbeDefinition,150_High_Frequency_words_Progress_Monitor.pdf,150_High_Frequency_words_Progress_Monitor.pdf
777239422,ProbeDefinition,Writing_High_Frequency_Words_Progress_Monitor_Directions.pdf,Writing_High_Frequency_Words_Progress_Monitor_Directions.pdf
777239423,ProbeDefinition,Letter_Identification_Progress_Monitor.pdf,Letter_Identification_Progress_Monitor.pdf
777239423,ProbeDefinition,Letter_Identification_Progress_Monitor_Directions.pdf,Letter_Identification_Progress_Monitor_Directions.pdf
777239424,ProbeDefinition,Sound_Identificaton_Progress_Monitor.pdf,Sound_Identificaton_Progress_Monitor.pdf
777239424,ProbeDefinition,Sounds_Identification_Progress_Monitor_Directions.pdf,Sounds_Identification_Progress_Monitor_Directions.pdf
777239425,ProbeDefinition,Concepts_About_Print_Progress_Monitor.pdf,Concepts_About_Print_Progress_Monitor.pdf
777239425,ProbeDefinition,Concepts_About_Print_Progress_Monitor_Directions.pdf,Concepts_About_Print_Progress_Monitor_Directions.pdf
777239426,ProbeDefinition,Reading_Cues_Progress_Monitor.pdf,Reading_Cues_Progress_Monitor.pdf
777239427,ProbeDefinition,Reading_Strategies.pdf,Reading_Strategies.pdf
777239324,ProbeDefinition,Comprehension-Traits_of_a_Reader_Progress_Monitor_Directions.pdf,Comprehension-Traits_of_a_Reader_Progress_Monitor_Directions.pdf
777239325,ProbeDefinition,Comprehension-Traits_of_a_Reader_Rubric-Making_Connectio.pdf,Comprehension-Traits_of_a_Reader_Rubric-Making_Connectio.pdf
777239326,ProbeDefinition,Comprehension-Traits_of_a_Reader_Rubric-Questioning.pdf,Comprehension-Traits_of_a_Reader_Rubric-Questioning.pdf
777239327,ProbeDefinition,Comprehension-Traits_of_a_Reader_Rubric-Inferring.pdf,Comprehension-Traits_of_a_Reader_Rubric-Inferring.pdf
777239329,ProbeDefinition,Comprehension-Traits_of_a_Reader_Rubric-Determining_Imp.pdf,Comprehension-Traits_of_a_Reader_Rubric-Determining_Imp.pdf
777239328,ProbeDefinition,Comprehension-Traits_of_a_Reader_Rubric-Visualizing.pdf,Comprehension-Traits_of_a_Reader_Rubric-Visualizing.pdf
777239331,ProbeDefinition,Comprehension-Traits_of_a_Reader_Rubric-Using_Fix-Up_Str.pdf,Comprehension-Traits_of_a_Reader_Rubric-Using_Fix-Up_Str.pdf
777239330,ProbeDefinition,Comprehension-Traits_of_a_Reader_Rubric-Synthesizing.pdf,Comprehension-Traits_of_a_Reader_Rubric-Synthesizing.pdf
777239428,ProbeDefinition,Read_Cover_Remember_Retell_Progress_Mon.pdf,Read_Cover_Remember_Retell_Progress_Mon.pdf
777239319,ProbeDefinition,6_1_Traits_Writing_Progress_Monitor_Directions.pdf,6_1_Traits_Writing_Progress_Monitor_Directions.pdf
777239353,ProbeDefinition,Presentation_Progress_Monitor_Rubric.pdf,Presentation_Progress_Monitor_Rubric.pdf
777239429,ProbeDefinition,Ideas_and_Content_Progress_Monitor_Rubric.pdf,Ideas_and_Content_Progress_Monitor_Rubric.pdf
777239430,ProbeDefinition,Voice_Progress_Monitor_Rubric.pdf,Voice_Progress_Monitor_Rubric.pdf
777239431,ProbeDefinition,Organization_Progress_Monitor_Rubric.pdf,Organization_Progress_Monitor_Rubric.pdf
777239354,ProbeDefinition,Fluency_Progress_Monitor_Rubric.pdf,Fluency_Progress_Monitor_Rubric.pdf
777239317,ProbeDefinition,Word_Choice_Progress_Monitor_Rubric.pdf,Word_Choice_Progress_Monitor_Rubric.pdf
777239318,ProbeDefinition,Conventions_Progress_Monitor_Rubric.pdf,Conventions_Progress_Monitor_Rubric.pdf
777239435,ProbeDefinition,Writing_Topic_Selection_Progress_Monitor.pdf,Writing_Topic_Selection_Progress_Monitor.pdf
777239436,ProbeDefinition,Reread_Writing_Progress_Monitor.pdf,Reread_Writing_Progress_Monitor.pdf
777239437,ProbeDefinition,Writing_Using_the_Computer_Progress_Monitor.pdf,Writing_Using_the_Computer_Progress_Monitor.pdf
777239438,ProbeDefinition,Dictated_Writing_Progress_Monitor_K.pdf,Dictated_Writing_Progress_Monitor_K.pdf
777239439,ProbeDefinition,Dictated_Writing_Progress_Monitor_Grade_1.pdf,Dictated_Writing_Progress_Monitor_Grade_1.pdf
777239440,ProbeDefinition,Dictated_Writing_Progress_Monitor_Grades_2-5.pdf,Dictated_Writing_Progress_Monitor_Grades_2-5.pdf
777239441,ProbeDefinition,Interactive_Writing_Progress_Monitor.pdf,Interactive_Writing_Progress_Monitor.pdf
777239442,ProbeDefinition,Talk_Through_the_Story_Progress_Monitor.pdf,Talk_Through_the_Story_Progress_Monitor.pdf
777239443,ProbeDefinition,Co-plan_and_Write_Progress_Monitor.pdf,Co-plan_and_Write_Progress_Monitor.pdf
